array_type,size,algorithm,threshold,time_ms
almost_sorted,2000,hybrid,5,1223
random,2000,hybrid,10,1113
reversed,2000,hybrid,10,941
almost_sorted,2000,hybrid,10,748
random,2000,hybrid,20,805
reversed,2000,hybrid,20,641
almost_sorted,2000,hybrid,20,547
random,2000,hybrid,30,797
reversed,2000,hybrid,30,608
almost_sorted,2000,hybrid,30,532
random,2000,hybrid,50,748
reversed,2000,hybrid,50,629
almost_sorted,2000,hybrid,50,396
random,2100,standard,0,3708
reversed,2100,standard,0,3473
almost_sorted,2100,standard,0,4453
random,2100,hybrid,5,1436
reversed,2100,hybrid,5,1347
almost_sorted,2100,hybrid,5,1176
random,2100,hybrid,10,1043
reversed,2100,hybrid,10,829
almost_sorted,2100,hybrid,10,879
random,2100,hybrid,20,878
reversed,2100,hybrid,20,661
almost_sorted,2100,hybrid,20,555
random,2100,hybrid,30,829
reversed,2100,hybrid,30,653
almost_sorted,2100,hybrid,30,569
random,2100,hybrid,50,816
reversed,2100,hybrid,50,708
almost_sorted,2100,hybrid,50,557
random,2200,standard,0,3952
reversed,2200,standard,0,3678
almost_sorted,2200,standard,0,3683
random,2200,hybrid,5,1469
reversed,2200,hybrid,5,1244
almost_sorted,2200,hybrid,5,1282
random,2200,hybrid,10,1066
reversed,2200,hybrid,10,899
almost_sorted,2200,hybrid,10,810
random,2200,hybrid,20,875
reversed,2200,hybrid,20,672
almost_sorted,2200,hybrid,20,578
random,2200,hybrid,30,854
reversed,2200,hybrid,30,672
almost_sorted,2200,hybrid,30,579
random,2200,hybrid,50,830
reversed,2200,hybrid,50,750
almost_sorted,2200,hybrid,50,434
random,2300,standard,0,4103
reversed,2300,standard,0,4146
almost_sorted,2300,standard,0,3844
random,2300,hybrid,5,1486
reversed,2300,hybrid,5,1296
almost_sorted,2300,hybrid,5,1243
random,2300,hybrid,10,1130
reversed,2300,hybrid,10,894
almost_sorted,2300,hybrid,10,853
random,2300,hybrid,20,946
reversed,2300,hybrid,20,753
almost_sorted,2300,hybrid,20,684
random,2300,hybrid,30,943
reversed,2300,hybrid,30,746
almost_sorted,2300,hybrid,30,618
random,2300,hybrid,50,934
reversed,2300,hybrid,50,840
almost_sorted,2300,hybrid,50,470
random,2400,standard,0,4265
reversed,2400,standard,0,4023
almost_sorted,2400,standard,0,4220
random,2400,hybrid,5,1542
reversed,2400,hybrid,5,1314
almost_sorted,2400,hybrid,5,1269
random,2400,hybrid,10,1166
reversed,2400,hybrid,10,927
almost_sorted,2400,hybrid,10,871
random,2400,hybrid,20,984
reversed,2400,hybrid,20,774
almost_sorted,2400,hybrid,20,641
random,2400,hybrid,30,990
reversed,2400,hybrid,30,764
almost_sorted,2400,hybrid,30,610
random,2400,hybrid,50,960
reversed,2400,hybrid,50,907
almost_sorted,2400,hybrid,50,558
random,2500,standard,0,4524
reversed,2500,standard,0,4869
almost_sorted,2500,standard,0,4113
random,2500,hybrid,5,2129
reversed,2500,hybrid,5,1550
almost_sorted,2500,hybrid,5,1301
random,2500,hybrid,10,1206
reversed,2500,hybrid,10,972
almost_sorted,2500,hybrid,10,886
random,2500,hybrid,20,1030
reversed,2500,hybrid,20,790
almost_sorted,2500,hybrid,20,655
random,2500,hybrid,30,1018
reversed,2500,hybrid,30,790
almost_sorted,2500,hybrid,30,657
random,2500,hybrid,50,1020
reversed,2500,hybrid,50,936
almost_sorted,2500,hybrid,50,502
random,2600,standard,0,5486
reversed,2600,standard,0,4328
almost_sorted,2600,standard,0,5507
random,2600,hybrid,5,1788
reversed,2600,hybrid,5,2123
almost_sorted,2600,hybrid,5,1346
random,2600,hybrid,10,1413
reversed,2600,hybrid,10,1061
almost_sorted,2600,hybrid,10,953
random,2600,hybrid,20,1126
reversed,2600,hybrid,20,853
almost_sorted,2600,hybrid,20,735
random,2600,hybrid,30,1035
reversed,2600,hybrid,30,804
almost_sorted,2600,hybrid,30,999
random,2600,hybrid,50,1065
reversed,2600,hybrid,50,1158
almost_sorted,2600,hybrid,50,1027
random,2700,standard,0,5826
reversed,2700,standard,0,5113
almost_sorted,2700,standard,0,5190
random,2700,hybrid,5,2147
reversed,2700,hybrid,5,1647
almost_sorted,2700,hybrid,5,2277
random,2700,hybrid,10,1761
reversed,2700,hybrid,10,1309
almost_sorted,2700,hybrid,10,1339
random,2700,hybrid,20,1457
reversed,2700,hybrid,20,1008
almost_sorted,2700,hybrid,20,967
random,2700,hybrid,30,1740
reversed,2700,hybrid,30,932
almost_sorted,2700,hybrid,30,691
random,2700,hybrid,50,1101
reversed,2700,hybrid,50,1052
almost_sorted,2700,hybrid,50,1879
random,2800,standard,0,6011
reversed,2800,standard,0,4837
almost_sorted,2800,standard,0,4567
random,2800,hybrid,5,2014
reversed,2800,hybrid,5,1706
almost_sorted,2800,hybrid,5,1668
random,2800,hybrid,10,1654
reversed,2800,hybrid,10,1404
almost_sorted,2800,hybrid,10,1334
random,2800,hybrid,20,1346
reversed,2800,hybrid,20,979
almost_sorted,2800,hybrid,20,904
random,2800,hybrid,30,1118
reversed,2800,hybrid,30,848
almost_sorted,2800,hybrid,30,675
random,2800,hybrid,50,1116
reversed,2800,hybrid,50,1054
almost_sorted,2800,hybrid,50,518
random,2900,standard,0,5159
reversed,2900,standard,0,5296
almost_sorted,2900,standard,0,4879
random,2900,hybrid,5,2615
reversed,2900,hybrid,5,2013
almost_sorted,2900,hybrid,5,1925
random,2900,hybrid,10,2180
reversed,2900,hybrid,10,1570
almost_sorted,2900,hybrid,10,1436
random,2900,hybrid,20,1424
reversed,2900,hybrid,20,1115
almost_sorted,2900,hybrid,20,1015
random,2900,hybrid,30,1230
reversed,2900,hybrid,30,980
almost_sorted,2900,hybrid,30,741
random,2900,hybrid,50,2343
reversed,2900,hybrid,50,1145
almost_sorted,2900,hybrid,50,609
random,3000,standard,0,6522
reversed,3000,standard,0,4971
almost_sorted,3000,standard,0,5941
random,3000,hybrid,5,2396
reversed,3000,hybrid,5,2085
almost_sorted,3000,hybrid,5,2009
random,3000,hybrid,10,1719
reversed,3000,hybrid,10,1407
almost_sorted,3000,hybrid,10,1376
random,3000,hybrid,20,1331
reversed,3000,hybrid,20,1030
almost_sorted,3000,hybrid,20,1173
random,3000,hybrid,30,1533
reversed,3000,hybrid,30,1114
almost_sorted,3000,hybrid,30,768
random,3000,hybrid,50,1243
reversed,3000,hybrid,50,1196
almost_sorted,3000,hybrid,50,550
random,3100,standard,0,5672
reversed,3100,standard,0,6174
almost_sorted,3100,standard,0,6103
random,3100,hybrid,5,4424
reversed,3100,hybrid,5,2879
almost_sorted,3100,hybrid,5,2330
random,3100,hybrid,10,1768
reversed,3100,hybrid,10,2005
almost_sorted,3100,hybrid,10,2518
random,3100,hybrid,20,1786
reversed,3100,hybrid,20,1391
almost_sorted,3100,hybrid,20,968
random,3100,hybrid,30,1337
reversed,3100,hybrid,30,1393
almost_sorted,3100,hybrid,30,939
random,3100,hybrid,50,1305
reversed,3100,hybrid,50,1256
almost_sorted,3100,hybrid,50,599
random,3200,standard,0,7786
reversed,3200,standard,0,7303
almost_sorted,3200,standard,0,5881
random,3200,hybrid,5,2718
reversed,3200,hybrid,5,2388
almost_sorted,3200,hybrid,5,2298
random,3200,hybrid,10,2025
reversed,3200,hybrid,10,1625
almost_sorted,3200,hybrid,10,1731
random,3200,hybrid,20,1577
reversed,3200,hybrid,20,1148
almost_sorted,3200,hybrid,20,1122
random,3200,hybrid,30,1504
reversed,3200,hybrid,30,978
almost_sorted,3200,hybrid,30,860
random,3200,hybrid,50,1309
reversed,3200,hybrid,50,1321
almost_sorted,3200,hybrid,50,751
random,3300,standard,0,7005
reversed,3300,standard,0,5542
almost_sorted,3300,standard,0,5345
random,3300,hybrid,5,2534
reversed,3300,hybrid,5,2258
almost_sorted,3300,hybrid,5,2183
random,3300,hybrid,10,1858
reversed,3300,hybrid,10,1500
almost_sorted,3300,hybrid,10,1430
random,3300,hybrid,20,1442
reversed,3300,hybrid,20,1122
almost_sorted,3300,hybrid,20,1012
random,3300,hybrid,30,1307
reversed,3300,hybrid,30,1074
almost_sorted,3300,hybrid,30,749
random,3300,hybrid,50,1268
reversed,3300,hybrid,50,1029
almost_sorted,3300,hybrid,50,731
random,3400,standard,0,5920
reversed,3400,standard,0,5469
almost_sorted,3400,standard,0,5490
random,3400,hybrid,5,2614
reversed,3400,hybrid,5,2222
almost_sorted,3400,hybrid,5,2177
random,3400,hybrid,10,1832
reversed,3400,hybrid,10,1497
almost_sorted,3400,hybrid,10,1434
random,3400,hybrid,20,1475
reversed,3400,hybrid,20,1135
almost_sorted,3400,hybrid,20,1031
random,3400,hybrid,30,1327
